wl	c_mean	c_std	c_median	c_var	c_IQR
412.0	4.10437558172	0.00700721162159	4.10364	4.91010147097e-05	0.0060275
440.0	2.50743531856	0.00690706472405	2.50632	4.77075431023e-05	0.0046725
488.0	1.33022692521	0.00678153303134	1.328855	4.59891902551e-05	0.003835
510.0	1.04096688366	0.00654782517686	1.039655	4.28740145468e-05	0.00371
532.0	0.896655277008	0.00661358929604	0.895445	4.37395633767e-05	0.003815
555.0	0.703889238227	0.00634712553909	0.702525	4.02860026089e-05	0.0040025
650.0	0.376818725762	0.00582996521018	0.37566	3.39884943519e-05	0.004035
676.0	0.350395069252	0.00594617034839	0.349055	3.53569418121e-05	0.00406
715.0	0.299204459834	0.00543408100722	0.29832	2.9529236393e-05	0.0037175
